Brent_Oil,DollarIndex,Ind_Prod,Fed_Funds,Total_AutoSales,DollarIndex_1W_Chg,DollarIndex_1M_Chg,DollarIndex_1Q_Chg,Real_GDP,IR_Diff
40.67,116.0457,95.8914,0.09,16.77,3.6233346429974667,-0.6790535017815125,28.873654716861697,83.2758481406111,-327.01000000000005
112.28,92.6239,97.2734,0.13,14.444,-18.359232457493412,6.769220128758602,-20.986020864203525,68.05765533799007,-185.07
101.21,95.2641,102.9417,0.09,16.959,-13.428540271353405,-20.32229357537274,4.2988867673334985,74.9724310143719,-176.41
96.26,95.8641,102.9417,0.09,16.959,-17.346635248350417,-15.830864676639633,-22.72912663304918,74.9724310143719,-176.41
115.95,88.3058,93.9684,0.14,13.259,-23.115874963105874,-20.992724292560016,-28.09296000586292,68.63819122512845,-240.36
43.19,119.8648,95.0037,0.09,15.279,3.291031033463554,26.882412468825812,13.060587710411987,83.77310299990711,-246.81
39.52,98.1278,90.6266,0.16,10.383,5.9422028223816925,-1.8777929658009618,-13.972335169122275,69.102872307212,-99.74000000000001
89.28,124.8944,103.5326,2.56,14.191,31.10332223786296,3.8903653794164716,34.4882540940534,87.71867207035137,-286.64
85.5,97.456,102.9611,0.09,16.756,1.6605799251231845,-11.61808303307702,2.3481386808037463,75.44151539401086,-161.91
117.03,90.881,98.6434,0.15,15.861,2.91622973802399,-17.913649505617624,-2.0043174559358556,71.4707796528675,-213.75
43.54,99.5101,90.6266,0.16,10.383,-16.981382357456077,5.864511434334485,-14.192277743908488,69.102872307212,-99.74000000000001
61.73,106.9106,101.0893,0.13,18.318,8.950368804762787,-9.259301696911981,-3.189889281584446,77.30671248645152,-139.17000000000002
50.88,111.9873,98.2039,0.09,17.052,-10.334410509998849,25.724315931638642,-4.8083200163204225,84.06138050800557,-347.91
66.54,112.1929,98.3317,0.07,18.502,15.12159333442784,13.034555298754524,18.440518933207773,87.31841560700576,-466.43
66.11,112.7951,98.3317,0.07,18.502,24.112960904919632,-6.180776204814265,-1.3489024588629772,87.31841560700576,-466.43
73.12,96.461,91.9033,0.18,11.598,-3.0641110801818083,2.7387484875854184,-17.097033967861897,68.96989857227703,-180.01999999999998
103.85,94.302,97.4595,0.16,14.496,-11.79359202922815,-15.792763510376107,3.5105012085116183,68.41622470082594,-211.44
81.7,122.02,101.8266,4.1,14.048,8.958783719225295,7.551144526808451,31.67379602971454,86.99329009544462,-294.9
93.63,91.3013,93.5916,0.18,12.605,-18.621142692630276,-17.029743459256096,2.9431396646784957,69.43953880764904,-214.62
57.02,110.0867,99.7482,1.15,18.313,-2.401168135849885,-5.08400778387924,17.13918156532175,76.66378152453994,-158.95
113.37,92.0345,96.1809,0.07,13.798,-4.588901213962126,-19.86945358393184,-23.664188618118153,68.86485963128732,-219.53
51.9,116.672,99.0406,0.54,18.277,23.72166019808699,0.5397011694530773,10.413853213700651,77.86380065694844,-138.96
108.98,92.3883,96.1809,0.07,13.798,-24.284297656121943,-0.2543619951222098,-19.862482565280448,68.86485963128732,-219.53
113.03,91.057,98.1736,0.14,15.813,-0.26757559859497126,-4.4162491431714574,-20.927469882238313,71.85886075129812,-213.06
101.31,92.2527,99.0383,0.11,15.884,-16.19995875977751,-3.7672079537595327,-19.75507093966018,72.13968080105911,-190.48999999999998
64.27,111.7197,101.2493,1.16,18.003,21.388935670862573,26.51456642712029,19.333665172677517,76.40057181216739,-156.04
110.48,90.4932,97.5311,0.16,14.83,-22.437945693911132,-24.50394110698053,-2.838092477170606,70.88827826177052,-220.44
110.84,93.502,102.2392,0.09,17.137,1.20545566917023,-4.714056567048274,-15.875826378617264,73.94333904557696,-176.41
109.35,90.6193,97.9084,0.16,15.456,-0.4806879207529424,-27.443264069485906,-17.76333043842049,71.00752435686209,-215.94
80.15,114.37,101.2684,0.08,13.553,23.974691255648885,17.355524544409782,2.370626960790889,88.43146137539948,-325.02000000000004
110.07,91.2331,96.1809,0.07,13.798,-18.337500011188723,0.38742971578216157,-0.5061223243457813,68.86485963128732,-219.53
65.5,111.8207,98.3317,0.07,18.502,23.56806920298984,12.371206540843605,0.15208117444642788,87.31841560700576,-466.43
107.51,92.4709,99.047,0.14,15.721,-1.1027571602746367,-13.506331458246423,-22.86551771022841,71.67231640850345,-212.76000000000002
82.98,120.7727,101.483,5.33,15.396,33.27481011219464,7.844996709448293,28.09947772813861,91.28363982756672,-205.36999999999998
53.61,119.0219,99.0406,0.54,18.277,4.067412783072477,6.086837937160028,6.944641621665326,77.86380065694844,-138.96
77.74,99.1045,102.9611,0.09,16.756,8.627789694748955,-12.137583990793932,3.026191998419847,75.44151539401086,-161.91
42.27,100.7546,88.3712,0.15,9.786,-9.896289327468,4.451125325260974,-6.660218872951596,68.09181203493557,-101.35
77.87,93.7033,92.8533,0.19,11.922,1.3327435982563252,-0.6348751882250703,-0.9873443669911608,69.36940556637269,-172.91
69.4,108.322,101.4852,1.41,17.176,-10.309200672006169,-11.226028519914767,-1.6699103861962827,81.68703161227843,-163.69
50.56,115.4456,99.0492,0.79,17.061,-3.0047411442768124,26.444639890122048,22.833023712092682,77.46313532219179,-148.91
65.93,95.0564,85.6853,0.16,11.566,-4.084678294123889,-13.653147927951325,2.0337756824961417,67.28985777223066,-126.84
